,Diện tích,Số tầng,Đường vào,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Quận_encoded
143,99.0,3,8.0,3.0,0,0,0,1,1,0,0,9,0.0,0.0,0.0,1.0,0.0,13.674404235916532
144,61.0,6,4.0,0.0,1,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,15.25688957809374
145,56.0,4,7.0,2.0,0,0,1,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,8.442832785570205
146,64.0,5,30.0,3.0,0,0,0,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,18.781854189609117
147,150.0,3,,3.0,0,1,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,8.442832785570205
148,66.0,5,6.0,3.0,0,0,1,0,0,0,0,9,0.0,0.0,1.0,0.0,0.0,11.23594537682606
149,111.0,4,5.0,2.0,0,0,1,1,1,0,0,10,0.0,0.0,0.0,0.0,1.0,15.25688957809374
150,144.0,3,12.0,3.0,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,1.0,17.640442397803668
151,28.0,4,6.0,3.0,0,0,1,0,0,0,0,10,0.0,0.0,1.0,0.0,0.0,22.79348057598528
152,80.0,3,,0.0,1,1,0,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,18.781854189609117
153,54.0,4,,2.0,0,1,1,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,13.674404235916532
154,101.0,4,7.0,0.0,1,0,0,0,1,0,0,9,0.0,0.0,0.0,0.0,1.0,8.442832785570205
155,52.0,4,8.0,0.0,1,0,0,0,0,0,0,6,0.0,0.0,0.0,0.0,1.0,17.640442397803668
156,66.0,5,12.0,3.0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,1.0,0.0,44.69026545333514
157,50.0,4,,2.0,0,1,1,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,18.781854189609117
158,44.0,6,8.0,3.0,0,0,1,0,0,0,0,11,0.0,0.0,0.0,1.0,0.0,14.456084927947083
159,27.0,3,4.0,2.0,0,0,1,1,1,0,0,6,0.0,0.0,0.0,1.0,0.0,8.442832785570205
160,61.0,3,5.0,2.0,0,0,1,0,0,0,0,7,0.0,0.0,1.0,0.0,0.0,8.442832785570205
161,113.0,2,15.0,3.0,0,0,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,18.781854189609117
162,54.0,5,,3.0,0,1,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,22.79348057598528
163,106.0,4,6.0,2.0,0,0,1,0,0,1,0,9,0.0,0.0,1.0,0.0,0.0,8.442832785570205
164,44.0,2,2.0,0.0,1,0,0,1,1,0,1,4,0.0,0.0,1.0,0.0,0.0,11.23594537682606
165,50.0,4,6.0,3.0,0,0,0,1,1,0,1,9,0.0,0.0,0.0,0.0,1.0,8.300633551777777
166,150.0,2,,3.0,0,1,0,0,0,0,0,7,0.0,0.0,0.0,1.0,0.0,8.300633551777777
167,66.0,3,,3.0,0,1,0,0,0,0,0,4,0.0,0.0,1.0,0.0,0.0,11.504108090114467
168,95.0,3,20.0,0.0,1,0,0,0,0,0,0,8,0.0,0.0,0.0,1.0,0.0,17.640442397803668
169,57.0,4,12.0,0.0,1,0,0,0,0,0,0,9,0.0,0.0,0.0,1.0,0.0,9.226974492834636
170,61.0,3,4.0,0.0,1,0,1,0,0,0,0,4,0.0,0.0,1.0,0.0,0.0,24.61294356994541
171,93.0,6,7.0,0.0,1,0,0,0,0,0,1,24,0.0,0.0,1.0,0.0,0.0,46.42285954678442
172,43.0,3,,2.0,0,1,1,0,0,0,0,6,0.0,0.0,0.0,0.0,1.0,44.69026545333514
